epoch,iso,raw_barometer
1753730080.2668264,2025-07-28T20:14:40.266835,0
1753730080.366611,2025-07-28T20:14:40.366618,148.56
1753730080.4668763,2025-07-28T20:14:40.466884,148.56
1753730080.5671694,2025-07-28T20:14:40.567179,148.56
1753730080.667351,2025-07-28T20:14:40.667358,148.34
1753730080.7675705,2025-07-28T20:14:40.767578,148.34
1753730080.8679035,2025-07-28T20:14:40.867911,148.34
1753730080.9681356,2025-07-28T20:14:40.968143,148.25
1753730081.0683446,2025-07-28T20:14:41.068354,148.25
1753730081.1683958,2025-07-28T20:14:41.168404,148.51
1753730081.2686467,2025-07-28T20:14:41.268654,148.51
1753730081.3694756,2025-07-28T20:14:41.369485,148.51
1753730081.4696643,2025-07-28T20:14:41.469673,148.15
1753730081.56967,2025-07-28T20:14:41.569679,148.15
1753730081.6699102,2025-07-28T20:14:41.669918,148.15
1753730081.770174,2025-07-28T20:14:41.770182,148.15
1753730081.870367,2025-07-28T20:14:41.870375,148.15
1753730081.9705334,2025-07-28T20:14:41.970541,148.15
1753730082.0709302,2025-07-28T20:14:42.070938,148.03
1753730082.1711793,2025-07-28T20:14:42.171187,148.03
1753730082.271445,2025-07-28T20:14:42.271453,148.3
1753730082.371993,2025-07-28T20:14:42.372001,148.3
1753730082.4720762,2025-07-28T20:14:42.472083,148.3
1753730082.572293,2025-07-28T20:14:42.572301,148.19
1753730082.6724873,2025-07-28T20:14:42.672495,148.19
1753730082.7726986,2025-07-28T20:14:42.772706,148.19
1753730082.8731894,2025-07-28T20:14:42.873197,148.15
1753730082.973271,2025-07-28T20:14:42.973277,148.15
1753730083.0735722,2025-07-28T20:14:43.073579,148.15
1753730083.173925,2025-07-28T20:14:43.173932,148.08
1753730083.2740104,2025-07-28T20:14:43.274019,148.08
1753730083.3742602,2025-07-28T20:14:43.374267,148.38
1753730083.4743795,2025-07-28T20:14:43.474387,148.38
1753730083.5753386,2025-07-28T20:14:43.575349,148.38
1753730083.6754558,2025-07-28T20:14:43.675465,148.29
1753730083.7755744,2025-07-28T20:14:43.775583,148.29
1753730083.8760397,2025-07-28T20:14:43.876050,148.29
1753730083.9759777,2025-07-28T20:14:43.975986,148.27
1753730084.0764697,2025-07-28T20:14:44.076478,148.27
1753730084.1769862,2025-07-28T20:14:44.176995,148.27
1753730084.2771583,2025-07-28T20:14:44.277168,148.37
1753730084.377422,2025-07-28T20:14:44.377430,148.37
1753730084.4776797,2025-07-28T20:14:44.477689,148.37
1753730084.577943,2025-07-28T20:14:44.577952,148.43
1753730084.6783361,2025-07-28T20:14:44.678349,148.43
1753730084.7786858,2025-07-28T20:14:44.778695,148.43
1753730084.8789022,2025-07-28T20:14:44.878912,148.18
1753730084.97909,2025-07-28T20:14:44.979100,148.18
1753730085.0793946,2025-07-28T20:14:45.079404,148.41
1753730085.1797628,2025-07-28T20:14:45.179773,148.41
1753730085.2798846,2025-07-28T20:14:45.279892,148.41
1753730085.3801372,2025-07-28T20:14:45.380158,148.11
1753730085.4803476,2025-07-28T20:14:45.480355,148.11
1753730085.5806031,2025-07-28T20:14:45.580610,148.11
1753730085.680798,2025-07-28T20:14:45.680805,148.12
1753730085.7812004,2025-07-28T20:14:45.781208,148.12
1753730085.8813992,2025-07-28T20:14:45.881406,148.12
1753730085.9814665,2025-07-28T20:14:45.981474,148.43
1753730086.0818486,2025-07-28T20:14:46.081856,148.43
1753730086.1821625,2025-07-28T20:14:46.182170,148.2
1753730086.2825162,2025-07-28T20:14:46.282525,148.2
1753730086.3826857,2025-07-28T20:14:46.382693,148.2
1753730086.4828882,2025-07-28T20:14:46.482896,148.29
1753730086.5831163,2025-07-28T20:14:46.583124,148.29
1753730086.6833327,2025-07-28T20:14:46.683340,148.29
1753730086.7835598,2025-07-28T20:14:46.783567,148.22
1753730086.8838565,2025-07-28T20:14:46.883865,148.22
1753730086.984117,2025-07-28T20:14:46.984125,148.22
1753730087.084249,2025-07-28T20:14:47.084256,148.42
1753730087.1845767,2025-07-28T20:14:47.184584,148.42
1753730087.2847648,2025-07-28T20:14:47.284772,148.42
1753730087.3849788,2025-07-28T20:14:47.384986,148.33
1753730087.485332,2025-07-28T20:14:47.485340,148.33
1753730087.585726,2025-07-28T20:14:47.585734,148.22
1753730087.685687,2025-07-28T20:14:47.685694,148.22
1753730087.7859578,2025-07-28T20:14:47.785965,148.22
1753730087.8861668,2025-07-28T20:14:47.886174,148.32
1753730087.9865055,2025-07-28T20:14:47.986513,148.32
1753730088.0870128,2025-07-28T20:14:48.087021,148.32
1753730088.1870525,2025-07-28T20:14:48.187059,148.05
1753730088.287307,2025-07-28T20:14:48.287314,148.05
1753730088.3874578,2025-07-28T20:14:48.387464,148.27
1753730088.487686,2025-07-28T20:14:48.487692,148.27
1753730088.5878978,2025-07-28T20:14:48.587905,148.27
1753730088.688141,2025-07-28T20:14:48.688148,148.2
1753730088.7883763,2025-07-28T20:14:48.788382,148.2
1753730088.8887706,2025-07-28T20:14:48.888778,148.2
1753730088.988889,2025-07-28T20:14:48.988896,148.25
1753730089.0890944,2025-07-28T20:14:49.089102,148.25
1753730089.1894329,2025-07-28T20:14:49.189440,148.25
1753730089.289599,2025-07-28T20:14:49.289606,148.21
1753730089.3898885,2025-07-28T20:14:49.389895,148.21
1753730089.4901652,2025-07-28T20:14:49.490173,148.32
1753730089.5903275,2025-07-28T20:14:49.590336,148.32
1753730089.6905735,2025-07-28T20:14:49.690580,148.32
1753730089.790781,2025-07-28T20:14:49.790788,148.46
1753730089.891131,2025-07-28T20:14:49.891138,148.46
1753730089.9913335,2025-07-28T20:14:49.991340,148.46
1753730090.0915616,2025-07-28T20:14:50.091569,148.25
1753730090.1923826,2025-07-28T20:14:50.192393,148.25
1753730090.292504,2025-07-28T20:14:50.292513,148.25
1753730090.392746,2025-07-28T20:14:50.392755,148.2
1753730090.4930024,2025-07-28T20:14:50.493012,148.2
1753730090.5933943,2025-07-28T20:14:50.593404,148.2
1753730090.6935885,2025-07-28T20:14:50.693599,148.3
1753730090.7940137,2025-07-28T20:14:50.794024,148.3
1753730090.8942053,2025-07-28T20:14:50.894215,148.09
1753730090.9946747,2025-07-28T20:14:50.994682,148.09
1753730091.0947287,2025-07-28T20:14:51.094739,148.09
1753730091.1953046,2025-07-28T20:14:51.195314,148.28
1753730091.2962542,2025-07-28T20:14:51.296264,148.28
1753730091.3963757,2025-07-28T20:14:51.396385,148.28
1753730091.4966667,2025-07-28T20:14:51.496677,148.23
1753730091.5969217,2025-07-28T20:14:51.596929,148.23
1753730091.6975424,2025-07-28T20:14:51.697552,148.23
1753730091.79752,2025-07-28T20:14:51.797528,148.06
1753730091.8980882,2025-07-28T20:14:51.898097,148.06
1753730091.9982052,2025-07-28T20:14:51.998216,148.06
1753730092.0985813,2025-07-28T20:14:52.098591,148.23
1753730092.1988065,2025-07-28T20:14:52.198816,148.23
1753730092.2988822,2025-07-28T20:14:52.298889,148.23
1753730092.3992698,2025-07-28T20:14:52.399277,148.23
1753730092.4997702,2025-07-28T20:14:52.499777,148.23
1753730092.5995195,2025-07-28T20:14:52.599527,147.99
1753730092.6998048,2025-07-28T20:14:52.699812,147.99
1753730092.8000338,2025-07-28T20:14:52.800041,147.99
1753730092.9002938,2025-07-28T20:14:52.900302,148.19
1753730093.0005522,2025-07-28T20:14:53.000560,148.19
1753730093.1007893,2025-07-28T20:14:53.100797,148.19
1753730093.2007678,2025-07-28T20:14:53.200776,148.33
1753730093.3011255,2025-07-28T20:14:53.301133,148.33
1753730093.4013658,2025-07-28T20:14:53.401373,148.33
1753730093.5016015,2025-07-28T20:14:53.501609,148.19
1753730093.601876,2025-07-28T20:14:53.601884,148.19
1753730093.7021332,2025-07-28T20:14:53.702140,147.92
1753730093.8024204,2025-07-28T20:14:53.802427,147.92
1753730093.9025676,2025-07-28T20:14:53.902575,147.92
1753730094.0028405,2025-07-28T20:14:54.002849,148.21
1753730094.1030314,2025-07-28T20:14:54.103039,148.21
1753730094.2032804,2025-07-28T20:14:54.203288,148.21
1753730094.3034744,2025-07-28T20:14:54.303481,148.17
1753730094.4038484,2025-07-28T20:14:54.403856,148.17
1753730094.5040207,2025-07-28T20:14:54.504028,148.17
1753730094.6048331,2025-07-28T20:14:54.604841,148.44
1753730094.7048929,2025-07-28T20:14:54.704900,148.44
1753730094.805061,2025-07-28T20:14:54.805068,148.07
1753730094.90528,2025-07-28T20:14:54.905287,148.07
1753730095.0055642,2025-07-28T20:14:55.005572,148.07
1753730095.1056983,2025-07-28T20:14:55.105705,148.21
1753730095.2059793,2025-07-28T20:14:55.205986,148.21
1753730095.3062336,2025-07-28T20:14:55.306241,148.21
1753730095.4064746,2025-07-28T20:14:55.406482,148.31
1753730095.5066679,2025-07-28T20:14:55.506674,148.31
1753730095.6068769,2025-07-28T20:14:55.606884,148.31
1753730095.707218,2025-07-28T20:14:55.707224,148.15
1753730095.8073564,2025-07-28T20:14:55.807363,148.15
1753730095.9080546,2025-07-28T20:14:55.908062,148.44
1753730096.0084717,2025-07-28T20:14:56.008477,148.44
1753730096.1080863,2025-07-28T20:14:56.108094,148.44
1753730096.2083616,2025-07-28T20:14:56.208369,148.23
1753730096.3085678,2025-07-28T20:14:56.308575,148.23
1753730096.4090822,2025-07-28T20:14:56.409090,148.23
1753730096.5091276,2025-07-28T20:14:56.509135,148.2
1753730096.609665,2025-07-28T20:14:56.609672,148.2
1753730096.7096283,2025-07-28T20:14:56.709636,148.2
1753730096.810242,2025-07-28T20:14:56.810249,148.42
1753730096.9102356,2025-07-28T20:14:56.910243,148.42
1753730097.0112953,2025-07-28T20:14:57.011302,148.42
1753730097.1111214,2025-07-28T20:14:57.111129,148.16
1753730097.2114801,2025-07-28T20:14:57.211487,148.16
1753730097.3120177,2025-07-28T20:14:57.312026,148.12
1753730097.4122703,2025-07-28T20:14:57.412279,148.12
1753730097.5124698,2025-07-28T20:14:57.512478,148.12
1753730097.612712,2025-07-28T20:14:57.612720,148.19
1753730097.7131915,2025-07-28T20:14:57.713201,148.19
1753730097.813374,2025-07-28T20:14:57.813386,148.19
1753730097.9137006,2025-07-28T20:14:57.913711,148.34
1753730098.014007,2025-07-28T20:14:58.014017,148.34
1753730098.1147316,2025-07-28T20:14:58.114741,148.34
1753730098.214681,2025-07-28T20:14:58.214690,148.31
1753730098.315027,2025-07-28T20:14:58.315036,148.31
1753730098.4155288,2025-07-28T20:14:58.415537,148.31
1753730098.5154839,2025-07-28T20:14:58.515492,148.12
1753730098.615887,2025-07-28T20:14:58.615895,148.12
1753730098.7161367,2025-07-28T20:14:58.716146,148.24
1753730098.8168733,2025-07-28T20:14:58.816883,148.24
1753730098.9169967,2025-07-28T20:14:58.917009,148.24
1753730099.0174148,2025-07-28T20:14:59.017425,148.31
1753730099.117891,2025-07-28T20:14:59.117900,148.31
1753730099.2179506,2025-07-28T20:14:59.217960,148.31
1753730099.3185525,2025-07-28T20:14:59.318562,147.97
1753730099.4186575,2025-07-28T20:14:59.418665,147.97
1753730099.5187902,2025-07-28T20:14:59.518798,147.97
1753730099.6194434,2025-07-28T20:14:59.619450,148.15
1753730099.7199185,2025-07-28T20:14:59.719925,148.15
1753730099.8199933,2025-07-28T20:14:59.820000,148.24
1753730099.9204698,2025-07-28T20:14:59.920476,148.24
1753730100.0202663,2025-07-28T20:15:00.020273,148.24
1753730100.1209695,2025-07-28T20:15:00.120977,148.42
1753730100.2214363,2025-07-28T20:15:00.221443,148.42
1753730100.3216987,2025-07-28T20:15:00.321706,148.42
1753730100.4220068,2025-07-28T20:15:00.422013,148.15
1753730100.5222292,2025-07-28T20:15:00.522236,148.15
1753730100.622616,2025-07-28T20:15:00.622624,148.15
1753730100.722757,2025-07-28T20:15:00.722765,148.14
1753730100.8230624,2025-07-28T20:15:00.823070,148.14
1753730100.9233005,2025-07-28T20:15:00.923308,148.23
1753730101.023447,2025-07-28T20:15:01.023454,148.23
1753730101.1238544,2025-07-28T20:15:01.123861,148.23
1753730101.2242527,2025-07-28T20:15:01.224364,148.21
1753730101.324396,2025-07-28T20:15:01.324403,148.21
1753730101.4246523,2025-07-28T20:15:01.424659,148.21
1753730101.5249088,2025-07-28T20:15:01.524916,148.21
1753730101.6251166,2025-07-28T20:15:01.625124,148.21
1753730101.7254324,2025-07-28T20:15:01.725440,148.21
1753730101.825606,2025-07-28T20:15:01.825613,148.29
1753730101.925916,2025-07-28T20:15:01.925924,148.29
1753730102.0261204,2025-07-28T20:15:02.026128,148.24
1753730102.126304,2025-07-28T20:15:02.126312,148.24
1753730102.2265866,2025-07-28T20:15:02.226594,148.24
1753730102.3269415,2025-07-28T20:15:02.326949,148.0
1753730102.4271555,2025-07-28T20:15:02.427164,148.0
1753730102.5276046,2025-07-28T20:15:02.527612,148.0
1753730102.6277735,2025-07-28T20:15:02.627782,148.42
1753730102.727981,2025-07-28T20:15:02.727990,148.42
1753730102.8285332,2025-07-28T20:15:02.828541,148.42
1753730102.9283543,2025-07-28T20:15:02.928361,148.04
1753730103.0286202,2025-07-28T20:15:03.028627,148.04
1753730103.1294317,2025-07-28T20:15:03.129439,148.44
1753730103.229345,2025-07-28T20:15:03.229352,148.44
1753730103.3293834,2025-07-28T20:15:03.329392,148.44
1753730103.4297347,2025-07-28T20:15:03.429743,148.36
1753730103.5299256,2025-07-28T20:15:03.529933,148.36
1753730103.6302102,2025-07-28T20:15:03.630218,148.36
1753730103.7304049,2025-07-28T20:15:03.730412,148.13
1753730103.8305504,2025-07-28T20:15:03.830557,148.13
1753730103.9308,2025-07-28T20:15:03.930807,148.13
1753730104.0310607,2025-07-28T20:15:04.031068,148.23
1753730104.131545,2025-07-28T20:15:04.131553,148.23
1753730104.2318766,2025-07-28T20:15:04.231884,148.15
1753730104.3321261,2025-07-28T20:15:04.332133,148.15
1753730104.4326146,2025-07-28T20:15:04.432624,148.15
1753730104.5339215,2025-07-28T20:15:04.533932,148.21
1753730104.6333814,2025-07-28T20:15:04.633391,148.21
1753730104.7336228,2025-07-28T20:15:04.733632,148.21
1753730104.8339381,2025-07-28T20:15:04.833949,148.28
1753730104.9342344,2025-07-28T20:15:04.934244,148.28
1753730105.0345137,2025-07-28T20:15:05.034523,148.28
1753730105.1347136,2025-07-28T20:15:05.134723,148.3
1753730105.2351859,2025-07-28T20:15:05.235197,148.3
1753730105.3355682,2025-07-28T20:15:05.335578,148.3
1753730105.4357092,2025-07-28T20:15:05.435717,148.25
1753730105.5359714,2025-07-28T20:15:05.535980,148.25
1753730105.6363032,2025-07-28T20:15:05.636313,148.33
1753730105.7366471,2025-07-28T20:15:05.736657,148.33
1753730105.837011,2025-07-28T20:15:05.837021,148.33
1753730105.9372463,2025-07-28T20:15:05.937256,148.29
1753730106.0377176,2025-07-28T20:15:06.037728,148.29
1753730106.1381717,2025-07-28T20:15:06.138181,148.29
1753730106.2385182,2025-07-28T20:15:06.238527,148.28
1753730106.3387973,2025-07-28T20:15:06.338808,148.28
1753730106.43962,2025-07-28T20:15:06.439629,148.28
1753730106.5391037,2025-07-28T20:15:06.539111,148.23
1753730106.6393504,2025-07-28T20:15:06.639358,148.23
1753730106.7397668,2025-07-28T20:15:06.739775,148.23
1753730106.8398948,2025-07-28T20:15:06.839902,148.35
1753730106.9401917,2025-07-28T20:15:06.940199,148.35
1753730107.0403266,2025-07-28T20:15:07.040333,148.28
1753730107.1406078,2025-07-28T20:15:07.140615,148.28
1753730107.240853,2025-07-28T20:15:07.240860,148.28
1753730107.3410723,2025-07-28T20:15:07.341080,148.33
1753730107.4412923,2025-07-28T20:15:07.441299,148.33
1753730107.541583,2025-07-28T20:15:07.541590,148.33
1753730107.641811,2025-07-28T20:15:07.641819,148.52
1753730107.74203,2025-07-28T20:15:07.742036,148.52
1753730107.8424401,2025-07-28T20:15:07.842448,148.52
1753730107.9425626,2025-07-28T20:15:07.942569,148.18
1753730108.0428014,2025-07-28T20:15:08.042809,148.18
1753730108.142985,2025-07-28T20:15:08.142992,148.16
1753730108.2432427,2025-07-28T20:15:08.243249,148.16
1753730108.3440633,2025-07-28T20:15:08.344070,148.16
1753730108.44403,2025-07-28T20:15:08.444036,148.04
1753730108.5441656,2025-07-28T20:15:08.544173,148.04
1753730108.6447659,2025-07-28T20:15:08.644773,148.04
1753730108.744812,2025-07-28T20:15:08.744820,148.11
1753730108.8451545,2025-07-28T20:15:08.845162,148.11
1753730108.9455345,2025-07-28T20:15:08.945544,148.11
1753730109.0456357,2025-07-28T20:15:09.045643,148.28
1753730109.1459303,2025-07-28T20:15:09.145937,148.28
1753730109.2462378,2025-07-28T20:15:09.246244,148.28
1753730109.3464937,2025-07-28T20:15:09.346501,148.36
1753730109.4467437,2025-07-28T20:15:09.446752,148.36
1753730109.5472414,2025-07-28T20:15:09.547249,148.28
1753730109.6471927,2025-07-28T20:15:09.647199,148.28
1753730109.7474153,2025-07-28T20:15:09.747423,148.28
1753730109.8477104,2025-07-28T20:15:09.847718,148.41
1753730109.947974,2025-07-28T20:15:09.947980,148.41
1753730110.0484378,2025-07-28T20:15:10.048446,148.41
1753730110.148534,2025-07-28T20:15:10.148542,148.07
1753730110.24871,2025-07-28T20:15:10.248717,148.07
1753730110.3489072,2025-07-28T20:15:10.348914,148.17
1753730110.449287,2025-07-28T20:15:10.449294,148.17
1753730110.5495276,2025-07-28T20:15:10.549534,148.17
1753730110.6497474,2025-07-28T20:15:10.649754,148.14
1753730110.7503288,2025-07-28T20:15:10.750337,148.14
1753730110.8503447,2025-07-28T20:15:10.850352,148.14
1753730110.9505572,2025-07-28T20:15:10.950564,148.11
1753730111.050935,2025-07-28T20:15:11.050943,148.11
1753730111.1513076,2025-07-28T20:15:11.151316,148.11
1753730111.251415,2025-07-28T20:15:11.251422,148.06
1753730111.35169,2025-07-28T20:15:11.351698,148.06
1753730111.451869,2025-07-28T20:15:11.451875,148.21
1753730111.5525045,2025-07-28T20:15:11.552514,148.21
1753730111.6526897,2025-07-28T20:15:11.652699,148.21
1753730111.7529812,2025-07-28T20:15:11.752991,148.28
1753730111.8534253,2025-07-28T20:15:11.853435,148.28
1753730111.9535801,2025-07-28T20:15:11.953589,148.28
1753730112.0539255,2025-07-28T20:15:12.053934,148.09
1753730112.1542737,2025-07-28T20:15:12.154283,148.09
1753730112.25479,2025-07-28T20:15:12.254799,148.09
1753730112.3550596,2025-07-28T20:15:12.355069,148.13
1753730112.4555364,2025-07-28T20:15:12.455545,148.13
1753730112.555871,2025-07-28T20:15:12.555880,148.13
1753730112.656135,2025-07-28T20:15:12.656143,148.42
1753730112.7564151,2025-07-28T20:15:12.756424,148.42
1753730112.8567326,2025-07-28T20:15:12.856742,148.36
1753730112.9571214,2025-07-28T20:15:12.957130,148.36
1753730113.0575554,2025-07-28T20:15:13.057565,148.36
1753730113.1576948,2025-07-28T20:15:13.157703,148.34
1753730113.2579355,2025-07-28T20:15:13.257945,148.34
1753730113.3584597,2025-07-28T20:15:13.358470,148.34
1753730113.4585361,2025-07-28T20:15:13.458545,148.33
1753730113.5589256,2025-07-28T20:15:13.558935,148.33
1753730113.6588738,2025-07-28T20:15:13.658881,148.33
1753730113.7590735,2025-07-28T20:15:13.759080,148.28
1753730113.8593535,2025-07-28T20:15:13.859361,148.28
1753730113.9596572,2025-07-28T20:15:13.959664,148.28
1753730114.0598314,2025-07-28T20:15:14.059839,148.19
1753730114.16017,2025-07-28T20:15:14.160177,148.19
1753730114.2604754,2025-07-28T20:15:14.260484,148.24
1753730114.3607914,2025-07-28T20:15:14.360799,148.24
1753730114.4610803,2025-07-28T20:15:14.461089,148.24
1753730114.5612833,2025-07-28T20:15:14.561291,148.3
1753730114.6615636,2025-07-28T20:15:14.661571,148.3
1753730114.761985,2025-07-28T20:15:14.761993,148.3
1753730114.8622088,2025-07-28T20:15:14.862216,148.19
1753730114.9623916,2025-07-28T20:15:14.962399,148.19
1753730115.0627475,2025-07-28T20:15:15.062755,148.19
1753730115.162945,2025-07-28T20:15:15.162952,148.34
1753730115.2635002,2025-07-28T20:15:15.263506,148.34
1753730115.3634713,2025-07-28T20:15:15.363480,148.21
1753730115.463672,2025-07-28T20:15:15.463678,148.21
1753730115.5641065,2025-07-28T20:15:15.564114,148.21
1753730115.6643586,2025-07-28T20:15:15.664366,148.08
1753730115.7645943,2025-07-28T20:15:15.764602,148.08
1753730115.8647468,2025-07-28T20:15:15.864754,148.08
1753730115.9651718,2025-07-28T20:15:15.965181,148.32
1753730116.0656574,2025-07-28T20:15:16.065665,148.32
1753730116.1656418,2025-07-28T20:15:16.165649,148.32
1753730116.265842,2025-07-28T20:15:16.265850,148.37
1753730116.3659244,2025-07-28T20:15:16.365931,148.37
1753730116.466333,2025-07-28T20:15:16.466339,148.29
1753730116.5666556,2025-07-28T20:15:16.566663,148.29
1753730116.6670196,2025-07-28T20:15:16.667027,148.29
1753730116.7670512,2025-07-28T20:15:16.767058,148.36
1753730116.8672764,2025-07-28T20:15:16.867283,148.36
1753730116.9674792,2025-07-28T20:15:16.967486,148.36
1753730117.067765,2025-07-28T20:15:17.067772,148.29
1753730117.168043,2025-07-28T20:15:17.168051,148.29
1753730117.2682948,2025-07-28T20:15:17.268301,148.29
1753730117.368456,2025-07-28T20:15:17.368463,148.21
1753730117.4687908,2025-07-28T20:15:17.468798,148.21
1753730117.5690277,2025-07-28T20:15:17.569035,148.34
1753730117.6692514,2025-07-28T20:15:17.669258,148.34
1753730117.7695358,2025-07-28T20:15:17.769543,148.34
1753730117.8697522,2025-07-28T20:15:17.869759,148.16
1753730117.9700742,2025-07-28T20:15:17.970081,148.16
1753730118.070261,2025-07-28T20:15:18.070268,148.16
1753730118.170708,2025-07-28T20:15:18.170716,148.34
1753730118.2707937,2025-07-28T20:15:18.270801,148.34
1753730118.3708415,2025-07-28T20:15:18.370849,148.34
1753730118.4755573,2025-07-28T20:15:18.475565,147.97
1753730118.5718012,2025-07-28T20:15:18.571809,147.97
1753730118.6721547,2025-07-28T20:15:18.672163,148.29
1753730118.7730048,2025-07-28T20:15:18.773014,148.29
1753730118.8736095,2025-07-28T20:15:18.873618,148.29
1753730118.9737015,2025-07-28T20:15:18.973711,148.12
1753730119.073919,2025-07-28T20:15:19.073928,148.12
1753730119.1743608,2025-07-28T20:15:19.174371,148.12
1753730119.2746055,2025-07-28T20:15:19.274615,148.21
1753730119.3749218,2025-07-28T20:15:19.374931,148.21
1753730119.475327,2025-07-28T20:15:19.475336,148.21
1753730119.5755162,2025-07-28T20:15:19.575525,148.35
1753730119.6758838,2025-07-28T20:15:19.675892,148.35
1753730119.7761884,2025-07-28T20:15:19.776198,148.35
1753730119.8765097,2025-07-28T20:15:19.876519,148.06
1753730119.976848,2025-07-28T20:15:19.976858,148.06
1753730120.077037,2025-07-28T20:15:20.077046,148.06
1753730120.1774077,2025-07-28T20:15:20.177417,148.24
1753730120.277755,2025-07-28T20:15:20.277764,148.24
1753730120.3782334,2025-07-28T20:15:20.378241,148.24
1753730120.478507,2025-07-28T20:15:20.478516,148.21
1753730120.5789363,2025-07-28T20:15:20.578945,148.21
1753730120.6793942,2025-07-28T20:15:20.679403,148.12
1753730120.7795007,2025-07-28T20:15:20.779508,148.12
1753730120.8797235,2025-07-28T20:15:20.879730,148.12
1753730120.979851,2025-07-28T20:15:20.979859,148.42
1753730121.080336,2025-07-28T20:15:21.080344,148.42
1753730121.1805048,2025-07-28T20:15:21.180512,148.42
1753730121.280587,2025-07-28T20:15:21.280594,148.12
1753730121.3808997,2025-07-28T20:15:21.380907,148.12
1753730121.481301,2025-07-28T20:15:21.481309,148.12
1753730121.581394,2025-07-28T20:15:21.581402,148.06
1753730121.6815438,2025-07-28T20:15:21.681552,148.06
